trade_id,entry_time,entry_price,exit_time,exit_price,exit_reason,size,pnl,pnl_pct,is_partial,entry_pos,exit_pos,bars_held,capital_before,capital_after,stop_price,tp_price,base_risk,adjusted_risk,streak_level_at_entry,consecutive_losses_at_entry,reduction_pct_at_entry,tier_at_entry,entry_adx,entry_regime
0,2023-02-19 08:00:00,24605.5,2023-02-19 15:15:00,24889.99642857143,take_profit,43.93728266736966,12500.00000000008,1.1562310400984757,False,0.5,0.5,29,100000.0,112500.00000000009,24491.70142857143,24889.99642857143,5000,5000.0,0,0,0.0,Tier 1: $0k-$150k ($5.0k risk),22.034855431110646,trending
1,2023-03-19 00:15:00,26977.8,2023-03-19 15:00:00,27631.682142857142,take_profit,19.116594842888798,12499.99999999993,2.4237785989114857,False,0.5,0.25,59,112500.00000000009,125000.00000000001,26716.24714285714,27631.682142857142,5000,5000.0,0,0,0.0,Tier 1: $0k-$150k ($5.0k risk),37.326334209006305,trending
2,2023-04-28 10:30:00,29293.7,2023-04-28 13:30:00,29113.61,stop_loss,27.763895829862825,-5000.0,-0.6147738250886714,False,0.5,0.5,12,125000.00000000001,120000.00000000001,29113.61,29743.925,5000,5000.0,0,0,0.0,Tier 1: $0k-$150k ($5.0k risk),23.051303400535577,trending
3,2023-05-06 08:00:00,29245.0,2023-05-06 12:30:00,29120.69714285714,stop_loss,40.22433687307452,-5000.0,-0.4250396893241872,False,0.5,0.5,18,120000.00000000001,115000.00000000001,29120.69714285714,29555.757142857146,5000,5000.0,0,1,0.0,Tier 1: $0k-$150k ($5.0k risk),23.589919892479053,trending
4,2023-05-30 00:30:00,27655.9,2023-05-30 10:30:00,27999.539285714287,take_profit,36.375352061442804,12499.999999999867,1.242553255234093,False,0.75,0.75,40,115000.00000000001,127499.99999999988,27518.444285714286,27999.539285714287,5000,5000.0,0,2,0.0,Tier 1: $0k-$150k ($5.0k risk),26.377101326281373,trending
5,2023-06-07 09:45:00,26476.5,2023-06-07 11:30:00,26898.664285714283,take_profit,29.609326091737938,12499.999999999838,1.5944867551008757,False,0.75,0.25,7,127499.99999999988,139999.9999999997,26307.634285714284,26898.664285714283,5000,5000.0,0,0,0.0,Tier 1: $0k-$150k ($5.0k risk),26.60888124257455,trending
6,2023-06-18 00:30:00,26406.8,2023-06-18 05:15:00,26605.024999999998,take_profit,63.059654433093016,12499.99999999977,0.7506589211869615,False,0.75,0.75,19,139999.9999999997,152499.99999999948,26327.51,26605.024999999998,5000,5000.0,0,0,0.0,Tier 1: $0k-$150k ($5.0k risk),20.295996996837452,trending
7,2023-08-30 09:15:00,27327.5,2023-08-30 13:30:00,27245.63857142857,stop_loss,128.26553583582037,-10500.0,-0.2995569611981645,False,0.75,0.75,17,152499.99999999948,141999.99999999948,27245.63857142857,27532.153571428567,10500,10500.0,0,0,0.0,Tier 1: $0k-$150k ($5.0k risk),30.74511839460549,trending
8,2023-10-26 10:00:00,34426.0,2023-10-26 10:45:00,34216.479999999996,stop_loss,23.86407025582237,-5000.0,-0.608609771684204,False,0.5,0.5,3,141999.99999999948,136999.99999999948,34216.479999999996,34949.8,5000,5000.0,0,1,0.0,Tier 1: $0k-$150k ($5.0k risk),22.516459737646432,trending
9,2024-01-27 08:45:00,41455.4,2024-01-27 19:30:00,41894.889285714286,take_profit,28.442104065595963,12500.000000000104,1.0601496685939202,False,0.75,0.75,43,136999.99999999948,149499.9999999996,41279.60428571429,41894.889285714286,5000,5000.0,0,2,0.0,Tier 1: $0k-$150k ($5.0k risk),28.099503581775608,trending
10,2024-01-31 00:45:00,42913.0,2024-01-31 09:45:00,42608.311428571425,stop_loss,18.0512185744693,-5500.0,-0.7100146142860544,False,1.25,1.25,36,149499.9999999996,143999.9999999996,42608.311428571425,43788.97964285714,5000,5000.0,0,0,0.0,Tier 1: $0k-$150k ($5.0k risk),30.01363725256958,trending
11,2024-02-10 10:45:00,46872.6,2024-02-10 19:15:00,47419.486607142855,take_profit,28.913672036348554,15812.499999999947,1.1667511662311383,False,1.0,1.0,34,143999.9999999996,159812.49999999953,46682.37857142857,47419.486607142855,5000,5000.0,0,1,0.0,Tier 1: $0k-$150k ($5.0k risk),23.62991951163409,trending
12,2024-02-13 11:00:00,49730.4,2024-02-13 13:30:00,49475.49428571429,stop_loss,45.310871246511596,-11550.000000000002,-0.5125752342344174,False,1.25,1.25,10,159812.49999999953,148262.49999999953,49475.49428571429,50463.25392857143,10500,10500.0,0,0,0.0,Tier 1: $0k-$150k ($5.0k risk),21.101349208226463,trending
13,2024-03-11 00:00:00,68909.4,2024-03-11 00:30:00,68441.43857142856,stop_loss,12.821569543277223,-6000.000000000001,-0.6790966523746169,False,1.75,1.75,2,148262.49999999953,142262.49999999953,68441.43857142856,70430.27464285714,5000,5000.0,0,1,0.0,Tier 1: $0k-$150k ($5.0k risk),37.38636948228953,trending
14,2024-03-22 00:30:00,65690.1,2024-03-22 10:15:00,65121.96857142858,stop_loss,9.680858553855806,-5500.000000000001,-0.8648661344272959,False,1.25,0.75,39,142262.49999999953,136762.49999999953,65121.96857142858,67323.47785714286,5000,5000.0,0,2,0.0,Tier 1: $0k-$150k ($5.0k risk),24.005834282077473,trending
15,2024-03-29 05:15:00,70411.4,2024-03-29 06:00:00,70121.69,stop_loss,11.390701045873781,-3300.0000000000005,-0.41145325898929985,False,1.25,1.25,3,136762.49999999953,133462.49999999953,70121.69,71244.31624999999,5000,3000.0,3,3,0.4,Tier 1: $0k-$150k ($5.0k risk),27.21081982480178,trending
16,2024-04-09 02:15:00,71548.4,2024-04-09 04:15:00,71076.0157142857,stop_loss,6.985837801547736,-3300.0,-0.6602303974851823,False,1.25,1.25,8,133462.49999999953,130162.49999999953,71076.0157142857,72906.50482142858,5000,3000.0,3,4,0.4,Tier 1: $0k-$150k ($5.0k risk),21.993632680992423,trending
17,2024-04-20 01:00:00,63461.0,2024-04-20 06:00:00,64006.1,pos_exit,4.357076571376836,2375.0424390575067,0.8589527426293292,False,1.25,-0.25,20,130162.49999999953,132537.54243905706,62703.61142857143,65638.49214285714,5000,3000.0,3,5,0.4,Tier 1: $0k-$150k ($5.0k risk),21.413346582800912,trending
18,2024-04-20 09:45:00,63583.4,2024-04-20 15:30:00,64411.30357142858,take_profit,15.098376708812582,12500.0,1.3020750249728361,False,0.75,0.75,23,132537.54243905706,145037.54243905706,63252.23857142857,64411.30357142858,5000,5000.0,0,0,0.0,Tier 1: $0k-$150k ($5.0k risk),21.087277726935003,trending
19,2024-05-14 06:30:00,61973.4,2024-05-14 10:15:00,61507.67571428571,stop_loss,10.735965792145425,-5000.0,-0.7514906164810901,False,0.75,0.75,15,145037.54243905706,140037.54243905706,61507.67571428571,63137.71071428572,5000,5000.0,0,0,0.0,Tier 1: $0k-$150k ($5.0k risk),21.174380367184092,trending
20,2024-06-04 09:45:00,68752.5,2024-06-04 13:15:00,69451.54285714286,take_profit,17.881593198863953,12500.00000000026,1.016752637566436,False,0.75,1.25,14,140037.54243905706,152537.54243905732,68472.88285714286,69451.54285714286,5000,5000.0,0,1,0.0,Tier 1: $0k-$150k ($5.0k risk),21.82858634331713,trending
21,2024-06-26 10:00:00,61320.0,2024-06-26 17:00:00,61045.69285714286,stop_loss,42.10608546207341,-11550.000000000002,-0.4473371540396967,False,1.25,1.25,28,152537.54243905732,140987.54243905732,61045.69285714286,62108.63303571429,10500,10500.0,0,0,0.0,Tier 1: $0k-$150k ($5.0k risk),24.57304708167151,trending
22,2024-06-28 08:15:00,61373.7,2024-06-28 14:15:00,61134.981428571424,stop_loss,23.03968211223,-5500.000000000001,-0.3889590678557319,False,1.25,1.25,24,140987.54243905732,135487.54243905732,61134.981428571424,62060.01589285713,5000,5000.0,0,1,0.0,Tier 1: $0k-$150k ($5.0k risk),23.80539203798938,trending
23,2024-07-02 08:15:00,62681.1,2024-07-02 14:00:00,62437.47,stop_loss,22.575216516849565,-5500.0,-0.38868175574455044,False,1.25,1.25,23,135487.54243905732,129987.54243905732,62437.47,63381.53624999999,5000,5000.0,0,2,0.0,Tier 1: $0k-$150k ($5.0k risk),26.27764977485399,trending
24,2024-07-07 07:15:00,57249.3,2024-07-07 13:15:00,56936.729999999996,stop_loss,10.557635089739662,-3300.0,-0.5459804748704473,False,1.25,1.25,24,129987.54243905732,126687.54243905732,56936.729999999996,58147.938750000016,5000,3000.0,3,3,0.4,Tier 1: $0k-$150k ($5.0k risk),29.116174009573623,trending
25,2024-07-16 08:30:00,62706.5,2024-07-16 15:45:00,64791.65535714285,take_profit,4.5500206819122155,9487.50000000003,3.3252619060908395,False,1.25,1.25,29,126687.54243905732,136175.04243905735,61981.228571428575,64791.65535714285,5000,3000.0,3,4,0.4,Tier 1: $0k-$150k ($5.0k risk),42.958653023703356,trending
26,2024-07-21 07:15:00,66637.3,2024-07-21 15:30:00,67391.14964285714,take_profit,20.975668224859756,15812.500000000344,1.1312727899496797,False,1.0,1.0,33,136175.04243905735,151987.5424390577,66375.09142857144,67391.14964285714,5000,5000.0,0,0,0.0,Tier 1: $0k-$150k ($5.0k risk),30.23790982040182,trending
27,2024-10-19 11:45:00,68071.6,2024-10-20 14:00:00,68501.60553571429,take_profit,77.22284306140891,33206.250000001266,0.6316959432631003,False,1.25,1.25,105,151987.5424390577,185193.79243905895,67922.03285714287,68501.60553571429,10500,10500.0,0,0,0.0,Tier 1: $0k-$150k ($5.0k risk),20.94991579632644,trending
28,2024-11-17 01:30:00,90232.0,2024-11-17 02:00:00,89798.08428571429,stop_loss,29.037897419182755,-12600.0,-0.4808889465884773,False,1.5,1.5,2,185193.79243905895,172593.79243905895,89798.08428571429,91642.22607142857,10500,10500.0,0,0,0.0,Tier 1: $0k-$150k ($5.0k risk),25.449911226062266,trending
29,2024-11-28 10:00:00,94888.1,2024-11-29 02:00:00,96538.59392857143,take_profit,24.81075470265098,40950.00000000027,1.7394108729876778,False,1.5,1.5,64,172593.79243905895,213543.7924390592,94380.25571428573,96538.59392857143,10500,10500.0,0,1,0.0,Tier 1: $0k-$150k ($5.0k risk),20.32643938950614,trending
30,2025-01-03 08:30:00,96237.1,2025-01-03 15:00:00,97332.47071428571,take_profit,37.384603646906776,40950.00000000013,1.1382000437312656,False,1.75,1.75,26,213543.7924390592,254493.79243905935,95900.06285714287,97332.47071428571,10500,10500.0,0,0,0.0,Tier 1: $0k-$150k ($5.0k risk),23.709878328974,trending
31,2025-01-07 11:45:00,100787.0,2025-01-07 14:30:00,100386.87285714285,stop_loss,43.86105844927795,-17550.0,-0.39700273136133535,False,1.5,1.5,11,254493.79243905935,236943.79243905935,100386.87285714285,102087.41321428573,14625,14625.0,0,0,0.0,Tier 1: $0k-$150k ($5.0k risk),22.8401615858766,trending
32,2025-01-16 11:15:00,99024.5,2025-01-16 14:30:00,98435.81,stop_loss,29.811955358507756,-17550.0,-0.5944892425611867,False,1.5,1.5,13,236943.79243905935,219393.79243905935,98435.81,100937.74250000001,14625,14625.0,0,1,0.0,Tier 1: $0k-$150k ($5.0k risk),22.647468339204433,trending
33,2025-01-18 06:30:00,103354.9,2025-01-18 08:00:00,102403.27857142857,stop_loss,13.240559346078571,-12599.999999999998,-0.9207317974971899,False,1.5,1.5,6,219393.79243905935,206793.79243905935,102403.27857142857,106447.66964285713,10500,10500.0,0,2,0.0,Tier 1: $0k-$150k ($5.0k risk),39.295188155823105,trending
34,2025-01-18 08:00:00,102562.5,2025-01-19 02:15:00,105119.61857142857,take_profit,16.014118569841166,40949.999999999935,2.4932295638547886,False,1.5,1.5,73,206793.79243905935,247743.7924390593,101775.69428571429,105119.61857142857,10500,10500.0,0,3,0.0,Tier 1: $0k-$150k ($5.0k risk),43.37797810196577,trending
35,2025-01-25 05:45:00,104315.7,2025-01-26 23:00:00,103861.00714285714,stop_loss,38.59748338752997,-17550.0,-0.4358815184510654,False,1.5,1.5,165,247743.7924390593,230193.7924390593,103861.00714285714,105793.45178571428,14625,14625.0,0,0,0.0,Tier 1: $0k-$150k ($5.0k risk),22.12300458030468,trending
36,2025-01-29 00:15:00,101433.3,2025-01-29 20:15:00,104148.5775,take_profit,21.006140256382604,57037.49999999984,2.6769093581693553,False,1.75,1.5,80,230193.7924390593,287231.2924390591,100597.83,104148.5775,14625,14625.0,0,1,0.0,Tier 1: $0k-$150k ($5.0k risk),24.954348124735326,trending
